hour,production,consumption
2025-04-01 14:45,1.52,1.38
2025-04-01 17:00,1.47,1.32
2025-04-01 15:15,1.35,1.3025
2025-04-01 15:30,1.23,1.285
2025-04-01 15:45,1.11,1.2675
2025-04-01 18:00,0.99,1.25
2025-04-01 16:15,0.875,1.175
2025-04-01 16:30,0.76,1.1
2025-04-01 16:45,0.645,1.025
2025-04-01 19:00,0.53,0.95
2025-04-01 17:15,0.4625,0.905
2025-04-01 17:30,0.395,0.86
2025-04-01 17:45,0.3275,0.815
2025-04-01 20:00,0.26,0.77
2025-04-01 18:15,0.2075,0.74
2025-04-01 18:30,0.155,0.71
2025-04-01 18:45,0.1025,0.68
2025-04-01 21:00,0.05,0.65
2025-04-01 19:15,0.0375,0.64
2025-04-01 19:30,0.025,0.63
2025-04-01 19:45,0.0125,0.62
2025-04-01 22:00,0,0.61
2025-04-01 20:15,0,0.59
2025-04-01 20:30,0,0.57
2025-04-01 20:45,0,0.55
2025-04-01 23:00,0,0.53
2025-04-01 21:15,0,0.525
2025-04-01 21:30,0,0.52
2025-04-01 21:45,0,0.515
2025-04-02 00:00,0,0.51
2025-04-01 22:15,0,0.4725
2025-04-01 22:30,0,0.435
2025-04-01 22:45,0,0.3975
2025-04-02 01:00,0,0.36
2025-04-01 23:15,0,0.3725
2025-04-01 23:30,0,0.385
2025-04-01 23:45,0,0.3975
2025-04-02 02:00,0,0.41
2025-04-02 00:15,0.0125,0.4025
2025-04-02 00:30,0.025,0.395
2025-04-02 00:45,0.0375,0.3875
2025-04-02 03:00,0.05,0.38
2025-04-02 01:15,0.07,0.405
2025-04-02 01:30,0.09,0.43
2025-04-02 01:45,0.11,0.455
2025-04-02 04:00,0.13,0.48
2025-04-02 02:15,0.2125,0.55
2025-04-02 02:30,0.295,0.62
2025-04-02 02:45,0.3775,0.69
2025-04-02 05:00,0.46,0.76
2025-04-02 03:15,0.5625,0.8225
2025-04-02 03:30,0.665,0.885
2025-04-02 03:45,0.7675,0.9475
2025-04-02 06:00,0.87,1.01
2025-04-02 04:15,0.9825,1.085
2025-04-02 04:30,1.095,1.16
2025-04-02 04:45,1.2075,1.235
2025-04-02 07:00,1.32,1.31
2025-04-02 05:15,1.3375,1.3425
2025-04-02 05:30,1.355,1.375
2025-04-02 05:45,1.3725,1.4075
2025-04-02 08:00,1.39,1.44
2025-04-02 06:15,1.495,1.4675
2025-04-02 06:30,1.6,1.495
2025-04-02 06:45,1.705,1.5225
2025-04-02 09:00,1.81,1.55
2025-04-02 07:15,1.915,1.59
2025-04-02 07:30,2.02,1.63
2025-04-02 07:45,2.125,1.67
2025-04-02 10:00,2.23,1.71
2025-04-02 08:15,2.26,1.74
2025-04-02 08:30,2.29,1.77
2025-04-02 08:45,2.32,1.8
2025-04-02 11:00,2.35,1.83
2025-04-02 09:15,2.3975,1.955
2025-04-02 09:30,2.445,2.08
2025-04-02 09:45,2.4925,2.205
2025-04-02 12:00,2.54,2.33
2025-04-02 10:15,2.5275,2.215
2025-04-02 10:30,2.515,2.1
2025-04-02 10:45,2.5025,1.985
2025-04-02 13:00,2.49,1.87
2025-04-02 11:15,2.4425,1.8725
2025-04-02 11:30,2.395,1.875
2025-04-02 11:45,2.3475,1.8775
2025-04-02 14:00,2.3,1.88
2025-04-02 12:15,2.215,1.835
2025-04-02 12:30,2.13,1.79
2025-04-02 12:45,2.045,1.745
2025-04-02 15:00,1.96,1.7
2025-04-02 13:15,1.905,1.64
2025-04-02 13:30,1.85,1.58
2025-04-02 13:45,1.795,1.52
2025-04-02 16:00,1.74,1.46
2025-04-02 14:15,1.61,1.4225
2025-04-02 14:30,1.48,1.385
2025-04-02 14:45,1.35,1.3475
2025-04-02 17:00,1.22,1.31
2025-04-02 15:15,1.1475,1.2725
2025-04-02 15:30,1.075,1.235
2025-04-02 15:45,1.0025,1.1975
2025-04-02 18:00,0.93,1.16
2025-04-02 16:15,0.8375,1.12
2025-04-02 16:30,0.745,1.08
2025-04-02 16:45,0.6525,1.04
2025-04-02 19:00,0.56,1
2025-04-02 17:15,0.4825,0.9475
2025-04-02 17:30,0.405,0.895
2025-04-02 17:45,0.3275,0.8425
2025-04-02 20:00,0.25,0.79
2025-04-02 18:15,0.2,0.7825
2025-04-02 18:30,0.15,0.775
2025-04-02 18:45,0.1,0.7675
2025-04-02 21:00,0.05,0.76
2025-04-02 19:15,0.0375,0.7325
2025-04-02 19:30,0.025,0.705
2025-04-02 19:45,0.0125,0.6775
2025-04-02 22:00,0,0.65
2025-04-02 20:15,0,0.6075
2025-04-02 20:30,0,0.565
2025-04-02 20:45,0,0.5225
2025-04-02 23:00,0,0.48
2025-04-02 21:15,0,0.495
2025-04-02 21:30,0,0.51
2025-04-02 21:45,0,0.525
2025-04-03 00:00,0,0.54
2025-04-02 22:15,0,0.5125
2025-04-02 22:30,0,0.485
2025-04-02 22:45,0,0.4575
2025-04-03 01:00,0,0.43
2025-04-02 23:15,0,0.415
2025-04-02 23:30,0,0.4
2025-04-02 23:45,0,0.385
2025-04-03 02:00,0,0.37
2025-04-03 00:15,0.0125,0.3675
2025-04-03 00:30,0.025,0.365
2025-04-03 00:45,0.0375,0.3625
2025-04-03 03:00,0.05,0.36
2025-04-03 01:15,0.07,0.39
2025-04-03 01:30,0.09,0.42
2025-04-03 01:45,0.11,0.45
2025-04-03 04:00,0.13,0.48
2025-04-03 02:15,0.2125,0.53
2025-04-03 02:30,0.295,0.58
2025-04-03 02:45,0.3775,0.63
2025-04-03 05:00,0.46,0.68
2025-04-03 03:15,0.5425,0.745
2025-04-03 03:30,0.625,0.81
2025-04-03 03:45,0.7075,0.875
2025-04-03 06:00,0.79,0.94
2025-04-03 04:15,0.8875,1.0175
2025-04-03 04:30,0.985,1.095
2025-04-03 04:45,1.0825,1.1725
2025-04-03 07:00,1.18,1.25
2025-04-03 05:15,1.2725,1.345
2025-04-03 05:30,1.365,1.44
2025-04-03 05:45,1.4575,1.535
2025-04-03 08:00,1.55,1.63
2025-04-03 06:15,1.665,1.6675
2025-04-03 06:30,1.78,1.705
2025-04-03 06:45,1.895,1.7425
2025-04-03 09:00,2.01,1.78
2025-04-03 07:15,2.0025,1.8175
2025-04-03 07:30,1.995,1.855
2025-04-03 07:45,1.9875,1.8925
2025-04-03 10:00,1.98,1.93
2025-04-03 08:15,2.03,1.9325
2025-04-03 08:30,2.08,1.935
2025-04-03 08:45,2.13,1.9375
2025-04-03 11:00,2.18,1.94
2025-04-03 09:15,2.2525,1.995
2025-04-03 09:30,2.325,2.05
2025-04-03 09:45,2.3975,2.105
2025-04-03 12:00,2.47,2.16
2025-04-03 10:15,2.47,2.11
2025-04-03 10:30,2.47,2.06
2025-04-03 10:45,2.47,2.01
2025-04-03 13:00,2.47,1.96
2025-04-03 11:15,2.4,1.8775
2025-04-03 11:30,2.33,1.795
2025-04-03 11:45,2.26,1.7125
2025-04-03 14:00,2.19,1.63
2025-04-03 12:15,2.1325,1.655
2025-04-03 12:30,2.075,1.68
2025-04-03 12:45,2.0175,1.705
2025-04-03 15:00,1.96,1.73
2025-04-03 13:15,1.875,1.6575
2025-04-03 13:30,1.79,1.585
2025-04-03 13:45,1.705,1.5125
2025-04-03 16:00,1.62,1.44
2025-04-03 14:15,1.525,1.385
2025-04-03 14:30,1.43,1.33
2025-04-03 14:45,1.335,1.275
2025-04-03 17:00,1.24,1.22
2025-04-03 15:15,1.1775,1.22
2025-04-03 15:30,1.115,1.22
2025-04-03 15:45,1.0525,1.22
2025-04-03 18:00,0.99,1.22
2025-04-03 16:15,0.88,1.1475
2025-04-03 16:30,0.77,1.075
2025-04-03 16:45,0.66,1.0025
2025-04-03 19:00,0.55,0.93
2025-04-03 17:15,0.4775,0.915
2025-04-03 17:30,0.405,0.9
2025-04-03 17:45,0.3325,0.885
2025-04-03 20:00,0.26,0.87
2025-04-03 18:15,0.2075,0.825
2025-04-03 18:30,0.155,0.78
2025-04-03 18:45,0.1025,0.735
2025-04-03 21:00,0.05,0.69
2025-04-03 19:15,0.0375,0.6725
2025-04-03 19:30,0.025,0.655
2025-04-03 19:45,0.0125,0.6375
2025-04-03 22:00,0,0.62
2025-04-03 20:15,0,0.595
2025-04-03 20:30,0,0.57
2025-04-03 20:45,0,0.545
2025-04-03 23:00,0,0.52
2025-04-03 21:15,0,0.5025
2025-04-03 21:30,0,0.485
2025-04-03 21:45,0,0.4675
2025-04-04 00:00,0,0.45
2025-04-03 22:15,0,0.435
2025-04-03 22:30,0,0.42
2025-04-03 22:45,0,0.405
2025-04-04 01:00,0,0.39
2025-04-03 23:15,0,0.3975
2025-04-03 23:30,0,0.405
2025-04-03 23:45,0,0.4125
2025-04-04 02:00,0,0.42
2025-04-04 00:15,0.0125,0.425
2025-04-04 00:30,0.025,0.43
2025-04-04 00:45,0.0375,0.435
2025-04-04 03:00,0.05,0.44
2025-04-04 01:15,0.075,0.4525
2025-04-04 01:30,0.1,0.465
2025-04-04 01:45,0.125,0.4775
2025-04-04 04:00,0.15,0.49
2025-04-04 02:15,0.2325,0.5375
2025-04-04 02:30,0.315,0.585
2025-04-04 02:45,0.3975,0.6325
2025-04-04 05:00,0.48,0.68
2025-04-04 03:15,0.56,0.7475
2025-04-04 03:30,0.64,0.815
2025-04-04 03:45,0.72,0.8825
2025-04-04 06:00,0.8,0.95
2025-04-04 04:15,0.8725,1.01
2025-04-04 04:30,0.945,1.07
2025-04-04 04:45,1.0175,1.13
2025-04-04 07:00,1.09,1.19
2025-04-04 05:15,1.235,1.2725
2025-04-04 05:30,1.38,1.355
2025-04-04 05:45,1.525,1.4375
2025-04-04 08:00,1.67,1.52
2025-04-04 06:15,1.7125,1.5425
2025-04-04 06:30,1.755,1.565
2025-04-04 06:45,1.7975,1.5875
2025-04-04 09:00,1.84,1.61
2025-04-04 07:15,1.9575,1.6325
2025-04-04 07:30,2.075,1.655
2025-04-04 07:45,2.1925,1.6775
2025-04-04 10:00,2.31,1.7
2025-04-04 08:15,2.35,1.8075
2025-04-04 08:30,2.39,1.915
2025-04-04 08:45,2.43,2.0225
2025-04-04 11:00,2.47,2.13
2025-04-04 09:15,2.5375,2.1425
2025-04-04 09:30,2.605,2.155
2025-04-04 09:45,2.6725,2.1675
2025-04-04 12:00,2.74,2.18
2025-04-04 10:15,2.595,2.1675
2025-04-04 10:30,2.45,2.155
2025-04-04 10:45,2.305,2.1425
2025-04-04 13:00,2.16,2.13
2025-04-04 11:15,2.13,2.025
2025-04-04 11:30,2.1,1.92
2025-04-04 11:45,2.07,1.815
2025-04-04 14:00,2.04,1.71
2025-04-04 12:15,1.9625,1.71
2025-04-04 12:30,1.885,1.71
2025-04-04 12:45,1.8075,1.71
2025-04-04 15:00,1.73,1.71
2025-04-04 13:15,1.71,1.65
2025-04-04 13:30,1.69,1.59
2025-04-04 13:45,1.67,1.53
2025-04-04 16:00,1.65,1.47
2025-04-04 14:15,1.575,1.4425
2025-04-04 14:30,1.5,1.415
2025-04-04 14:45,1.425,1.3875
2025-04-04 17:00,1.35,1.36
2025-04-04 15:15,1.2475,1.35
2025-04-04 15:30,1.145,1.34
2025-04-04 15:45,1.0425,1.33
2025-04-04 18:00,0.94,1.32
2025-04-04 16:15,0.86,1.23
2025-04-04 16:30,0.78,1.14
2025-04-04 16:45,0.7,1.05
2025-04-04 19:00,0.62,0.96
2025-04-04 17:15,0.5275,0.925
2025-04-04 17:30,0.435,0.89
2025-04-04 17:45,0.3425,0.855
2025-04-04 20:00,0.25,0.82
2025-04-04 18:15,0.2,0.79
2025-04-04 18:30,0.15,0.76
2025-04-04 18:45,0.1,0.73
2025-04-04 21:00,0.05,0.7
2025-04-04 19:15,0.0375,0.6625
2025-04-04 19:30,0.025,0.625
2025-04-04 19:45,0.0125,0.5875
2025-04-04 22:00,0,0.55
2025-04-04 20:15,0,0.55
2025-04-04 20:30,0,0.55
2025-04-04 20:45,0,0.55
2025-04-04 23:00,0,0.55
2025-04-04 21:15,0,0.5275
2025-04-04 21:30,0,0.505
2025-04-04 21:45,0,0.4825
2025-04-05 00:00,0,0.46
2025-04-04 22:15,0,0.4425
2025-04-04 22:30,0,0.425
2025-04-04 22:45,0,0.4075
2025-04-05 01:00,0,0.39
2025-04-04 23:15,0,0.4025
2025-04-04 23:30,0,0.415
2025-04-04 23:45,0,0.4275
2025-04-05 02:00,0,0.44
2025-04-05 00:15,0.0125,0.435
2025-04-05 00:30,0.025,0.43
2025-04-05 00:45,0.0375,0.425
2025-04-05 03:00,0.05,0.42
2025-04-05 01:15,0.075,0.43
2025-04-05 01:30,0.1,0.44
2025-04-05 01:45,0.125,0.45
2025-04-05 04:00,0.15,0.46
2025-04-05 02:15,0.24,0.5275
2025-04-05 02:30,0.33,0.595
2025-04-05 02:45,0.42,0.6625
2025-04-05 05:00,0.51,0.73
2025-04-05 03:15,0.605,0.78
2025-04-05 03:30,0.7,0.83
2025-04-05 03:45,0.795,0.88
2025-04-05 06:00,0.89,0.93
2025-04-05 04:15,0.945,1.0125
2025-04-05 04:30,1,1.095
2025-04-05 04:45,1.055,1.1775
2025-04-05 07:00,1.11,1.26
2025-04-05 05:15,1.1825,1.3
2025-04-05 05:30,1.255,1.34
2025-04-05 05:45,1.3275,1.38
2025-04-05 08:00,1.4,1.42
2025-04-05 06:15,1.5525,1.5025
2025-04-05 06:30,1.705,1.585
2025-04-05 06:45,1.8575,1.6675
2025-04-05 09:00,2.01,1.75
2025-04-05 07:15,1.9975,1.79
2025-04-05 07:30,1.985,1.83
2025-04-05 07:45,1.9725,1.87
2025-04-05 10:00,1.96,1.91
2025-04-05 08:15,2.015,1.965
2025-04-05 08:30,2.07,2.02
2025-04-05 08:45,2.125,2.075
2025-04-05 11:00,2.18,2.13
2025-04-05 09:15,2.2125,2.17
2025-04-05 09:30,2.245,2.21
2025-04-05 09:45,2.2775,2.25
2025-04-05 12:00,2.31,2.29
2025-04-05 10:15,2.3725,2.17
2025-04-05 10:30,2.435,2.05
2025-04-05 10:45,2.4975,1.93
2025-04-05 13:00,2.56,1.81
2025-04-05 11:15,2.5125,1.77
2025-04-05 11:30,2.465,1.73
2025-04-05 11:45,2.4175,1.69
2025-04-05 14:00,2.37,1.65
2025-04-05 12:15,2.2275,1.68
2025-04-05 12:30,2.085,1.71
2025-04-05 12:45,1.9425,1.74
2025-04-05 15:00,1.8,1.77
2025-04-05 13:15,1.8075,1.665
2025-04-05 13:30,1.815,1.56
2025-04-05 13:45,1.8225,1.455
2025-04-05 16:00,1.83,1.35
2025-04-05 14:15,1.7075,1.3075
2025-04-05 14:30,1.585,1.265
2025-04-05 14:45,1.4625,1.2225
2025-04-05 17:00,1.34,1.18
2025-04-05 15:15,1.2675,1.1725
2025-04-05 15:30,1.195,1.165
2025-04-05 15:45,1.1225,1.1575
2025-04-05 18:00,1.05,1.15
2025-04-05 16:15,0.9375,1.12
2025-04-05 16:30,0.825,1.09
2025-04-05 16:45,0.7125,1.06
2025-04-05 19:00,0.6,1.03
2025-04-05 17:15,0.51,0.99
2025-04-05 17:30,0.42,0.95
2025-04-05 17:45,0.33,0.91
2025-04-05 20:00,0.24,0.87
2025-04-05 18:15,0.1925,0.815
2025-04-05 18:30,0.145,0.76
2025-04-05 18:45,0.0975,0.705
2025-04-05 21:00,0.05,0.65
2025-04-05 19:15,0.0375,0.64
2025-04-05 19:30,0.025,0.63
2025-04-05 19:45,0.0125,0.62
2025-04-05 22:00,0,0.61
2025-04-05 20:15,0,0.5925
2025-04-05 20:30,0,0.575
2025-04-05 20:45,0,0.5575
2025-04-05 23:00,0,0.54
2025-04-05 21:15,0,0.525
2025-04-05 21:30,0,0.51
2025-04-05 21:45,0,0.495
2025-04-06 00:00,0,0.48
2025-04-05 22:15,0,0.455
2025-04-05 22:30,0,0.43
2025-04-05 22:45,0,0.405
2025-04-06 01:00,0,0.38
2025-04-05 23:15,0,0.3875
2025-04-05 23:30,0,0.395
2025-04-05 23:45,0,0.4025
2025-04-06 02:00,0,0.41
2025-04-06 00:15,0.01,0.4075
2025-04-06 00:30,0.02,0.405
2025-04-06 00:45,0.03,0.4025
2025-04-06 03:00,0.04,0.4
2025-04-06 01:15,0.065,0.415
2025-04-06 01:30,0.09,0.43
2025-04-06 01:45,0.115,0.445
2025-04-06 04:00,0.14,0.46
2025-04-06 02:15,0.2225,0.53
2025-04-06 02:30,0.305,0.6
2025-04-06 02:45,0.3875,0.67
2025-04-06 05:00,0.47,0.74
2025-04-06 03:15,0.5675,0.7925
2025-04-06 03:30,0.665,0.845
2025-04-06 03:45,0.7625,0.8975
2025-04-06 06:00,0.86,0.95
2025-04-06 04:15,0.9675,0.995
2025-04-06 04:30,1.075,1.04
2025-04-06 04:45,1.1825,1.085
2025-04-06 07:00,1.29,1.13
2025-04-06 05:15,1.3525,1.25
2025-04-06 05:30,1.415,1.37
2025-04-06 05:45,1.4775,1.49
2025-04-06 08:00,1.54,1.61
2025-04-06 06:15,1.645,1.655
2025-04-06 06:30,1.75,1.7
2025-04-06 06:45,1.855,1.745
2025-04-06 09:00,1.96,1.79
2025-04-06 07:15,2.015,1.8
2025-04-06 07:30,2.07,1.81
2025-04-06 07:45,2.125,1.82
2025-04-06 10:00,2.18,1.83
2025-04-06 08:15,2.28,1.865
2025-04-06 08:30,2.38,1.9
2025-04-06 08:45,2.48,1.935
2025-04-06 11:00,2.58,1.97
2025-04-06 09:15,2.6125,2.0325
2025-04-06 09:30,2.645,2.095
2025-04-06 09:45,2.6775,2.1575
2025-04-06 12:00,2.71,2.22
2025-04-06 10:15,2.6025,2.1425
2025-04-06 10:30,2.495,2.065
2025-04-06 10:45,2.3875,1.9875
2025-04-06 13:00,2.28,1.91
2025-04-06 11:15,2.24,1.885
2025-04-06 11:30,2.2,1.86
2025-04-06 11:45,2.16,1.835
2025-04-06 14:00,2.12,1.81
2025-04-06 12:15,2.105,1.8025
2025-04-06 12:30,2.09,1.795
2025-04-06 12:45,2.075,1.7875
2025-04-06 15:00,2.06,1.78
2025-04-06 13:15,1.96,1.695
2025-04-06 13:30,1.86,1.61
2025-04-06 13:45,1.76,1.525
2025-04-06 16:00,1.66,1.44
2025-04-06 14:15,1.5825,1.3925
2025-04-06 14:30,1.505,1.345
2025-04-06 14:45,1.4275,1.2975
2025-04-06 17:00,1.35,1.25
2025-04-06 15:15,1.2625,1.215
2025-04-06 15:30,1.175,1.18
2025-04-06 15:45,1.0875,1.145
2025-04-06 18:00,1,1.11
2025-04-06 16:15,0.895,1.07
2025-04-06 16:30,0.79,1.03
2025-04-06 16:45,0.685,0.99
2025-04-06 19:00,0.58,0.95
2025-04-06 17:15,0.4975,0.925
2025-04-06 17:30,0.415,0.9
2025-04-06 17:45,0.3325,0.875
2025-04-06 20:00,0.25,0.85
2025-04-06 18:15,0.2,0.7975
2025-04-06 18:30,0.15,0.745
2025-04-06 18:45,0.1,0.6925
2025-04-06 21:00,0.05,0.64
2025-04-06 19:15,0.0375,0.6175
2025-04-06 19:30,0.025,0.595
2025-04-06 19:45,0.0125,0.5725
2025-04-06 22:00,0,0.55
2025-04-06 20:15,0,0.55
2025-04-06 20:30,0,0.55
2025-04-06 20:45,0,0.55
2025-04-06 23:00,0,0.55
2025-04-06 21:15,0,0.5475
2025-04-06 21:30,0,0.545
2025-04-06 21:45,0,0.5425
2025-04-07 00:00,0,0.54
2025-04-06 22:15,0,0.5075
2025-04-06 22:30,0,0.475
2025-04-06 22:45,0,0.4425
2025-04-07 01:00,0,0.41
2025-04-06 23:15,0,0.4075
2025-04-06 23:30,0,0.405
2025-04-06 23:45,0,0.4025
2025-04-07 02:00,0,0.4
2025-04-07 00:15,0.0125,0.4075
2025-04-07 00:30,0.025,0.415
2025-04-07 00:45,0.0375,0.4225
2025-04-07 03:00,0.05,0.43
2025-04-07 01:15,0.075,0.4375
2025-04-07 01:30,0.1,0.445
2025-04-07 01:45,0.125,0.4525
2025-04-07 04:00,0.15,0.46
2025-04-07 02:15,0.23,0.5175
2025-04-07 02:30,0.31,0.575
2025-04-07 02:45,0.39,0.6325
2025-04-07 05:00,0.47,0.69
2025-04-07 03:15,0.5525,0.7575
2025-04-07 03:30,0.635,0.825
2025-04-07 03:45,0.7175,0.8925
2025-04-07 06:00,0.8,0.96
2025-04-07 04:15,0.92,0.995
2025-04-07 04:30,1.04,1.03
2025-04-07 04:45,1.16,1.065
2025-04-07 07:00,1.28,1.1
2025-04-07 05:15,1.35,1.165
2025-04-07 05:30,1.42,1.23
2025-04-07 05:45,1.49,1.295
2025-04-07 08:00,1.56,1.36
2025-04-07 06:15,1.655,1.4175
2025-04-07 06:30,1.75,1.475
2025-04-07 06:45,1.845,1.5325
2025-04-07 09:00,1.94,1.59
2025-04-07 07:15,1.985,1.6
2025-04-07 07:30,2.03,1.61
2025-04-07 07:45,2.075,1.62
2025-04-07 10:00,2.12,1.63
2025-04-07 08:15,2.1725,1.6975
2025-04-07 08:30,2.225,1.765
2025-04-07 08:45,2.2775,1.8325
2025-04-07 11:00,2.33,1.9
2025-04-07 09:15,2.32,1.935
2025-04-07 09:30,2.31,1.97
2025-04-07 09:45,2.3,2.005
2025-04-07 12:00,2.29,2.04
2025-04-07 10:15,2.3325,2.005
2025-04-07 10:30,2.375,1.97
2025-04-07 10:45,2.4175,1.935
2025-04-07 13:00,2.46,1.9
2025-04-07 11:15,2.415,1.835
2025-04-07 11:30,2.37,1.77
2025-04-07 11:45,2.325,1.705
2025-04-07 14:00,2.28,1.64
2025-04-07 12:15,2.15,1.69
2025-04-07 12:30,2.02,1.74
2025-04-07 12:45,1.89,1.79
2025-04-07 15:00,1.76,1.84
2025-04-07 13:15,1.715,1.785
2025-04-07 13:30,1.67,1.73
2025-04-07 13:45,1.625,1.675
2025-04-07 16:00,1.58,1.62
2025-04-07 14:15,1.545,1.525
2025-04-07 14:30,1.51,1.43
2025-04-07 14:45,1.475,1.335
2025-04-07 17:00,1.44,1.24
2025-04-07 15:15,1.3225,1.2325
2025-04-07 15:30,1.205,1.225
2025-04-07 15:45,1.0875,1.2175
2025-04-07 18:00,0.97,1.21
2025-04-07 16:15,0.885,1.1775
2025-04-07 16:30,0.8,1.145
2025-04-07 16:45,0.715,1.1125
2025-04-07 19:00,0.63,1.08
2025-04-07 17:15,0.5375,0.995
2025-04-07 17:30,0.445,0.91
2025-04-07 17:45,0.3525,0.825
2025-04-07 20:00,0.26,0.74
2025-04-07 18:15,0.2075,0.7425
2025-04-07 18:30,0.155,0.745
2025-04-07 18:45,0.1025,0.7475
2025-04-07 21:00,0.05,0.75
2025-04-07 19:15,0.0375,0.7125
2025-04-07 19:30,0.025,0.675
2025-04-07 19:45,0.0125,0.6375
2025-04-07 22:00,0,0.6
2025-04-07 20:15,0,0.575
2025-04-07 20:30,0,0.55
2025-04-07 20:45,0,0.525
2025-04-07 23:00,0,0.5
2025-04-07 21:15,0,0.5075
2025-04-07 21:30,0,0.515
2025-04-07 21:45,0,0.5225
2025-04-08 00:00,0,0.53
2025-04-07 22:15,0,0.5
2025-04-07 22:30,0,0.47
2025-04-07 22:45,0,0.44
2025-04-08 01:00,0,0.41
2025-04-07 23:15,0,0.4025
2025-04-07 23:30,0,0.395
2025-04-07 23:45,0,0.3875
2025-04-08 02:00,0,0.38
2025-04-08 00:15,0.0125,0.3825
2025-04-08 00:30,0.025,0.385
2025-04-08 00:45,0.0375,0.3875
2025-04-08 03:00,0.05,0.39
2025-04-08 01:15,0.075,0.425
2025-04-08 01:30,0.1,0.46
2025-04-08 01:45,0.125,0.495
2025-04-08 04:00,0.15,0.53
2025-04-08 02:15,0.23,0.5825
2025-04-08 02:30,0.31,0.635
2025-04-08 02:45,0.39,0.6875
2025-04-08 05:00,0.47,0.74
2025-04-08 03:15,0.56,0.78
2025-04-08 03:30,0.65,0.82
2025-04-08 03:45,0.74,0.86
2025-04-08 06:00,0.83,0.9
2025-04-08 04:15,0.95,0.9975
2025-04-08 04:30,1.07,1.095
2025-04-08 04:45,1.19,1.1925
2025-04-08 07:00,1.31,1.29
2025-04-08 05:15,1.37,1.325
2025-04-08 05:30,1.43,1.36
2025-04-08 05:45,1.49,1.395
2025-04-08 08:00,1.55,1.43
2025-04-08 06:15,1.625,1.4825
2025-04-08 06:30,1.7,1.535
2025-04-08 06:45,1.775,1.5875
2025-04-08 09:00,1.85,1.64
2025-04-08 07:15,1.89,1.6775
2025-04-08 07:30,1.93,1.715
2025-04-08 07:45,1.97,1.7525
2025-04-08 10:00,2.01,1.79
2025-04-08 08:15,2.1175,1.8875
2025-04-08 08:30,2.225,1.985
2025-04-08 08:45,2.3325,2.0825
2025-04-08 11:00,2.44,2.18
2025-04-08 09:15,2.425,2.18
2025-04-08 09:30,2.41,2.18
2025-04-08 09:45,2.395,2.18
2025-04-08 12:00,2.38,2.18
2025-04-08 10:15,2.42,2.1375
2025-04-08 10:30,2.46,2.095
2025-04-08 10:45,2.5,2.0525
2025-04-08 13:00,2.54,2.01
2025-04-08 11:15,2.495,1.92
2025-04-08 11:30,2.45,1.83
2025-04-08 11:45,2.405,1.74
2025-04-08 14:00,2.36,1.65
2025-04-08 12:15,2.26,1.65
2025-04-08 12:30,2.16,1.65
2025-04-08 12:45,2.06,1.65
